county,precinct,office,district,party,candidate,votes,machine,hand
Kittias,29-ELLENSBURG 22,,,,Ballots ,153,133,133
Kittias,30-ELLENSBURG 23,,,,Ballots ,111,98,98
Kittias,31-ELLENSBURG 24,,,,Ballots ,176,144,144
Kittias,54-FAIRVIEW,,,,Ballots ,133,112,112
Kittias,32-HYAK (vbm),,,,Ballots ,148,150,150
Kittias,59-KACHESS (vbm),,,,Ballots ,202,203,203
Kittias,33-KITTITAS 1,,,,Ballots ,121,106,106
Kittias,60-KITTITAS 2,,,,Ballots ,168,149,150
Kittias,34-MANASTASH,,,,Ballots ,167,137,137
Kittias,35-MOUNTAIN,,,,Ballots ,128,95,95
Kittias,36-NORTH CENTRAL,,,,Ballots ,199,174,174
Kittias,37-NORTH ELLENSBURG,,,,Ballots ,160,134,133
Kittias,55-NORTH EAST FAIRVIEW,,,,Ballots ,199,163,163
Kittias,38-PARK,,,,Ballots ,204,165,165
Kittias,39-PEOH POINT,,,,Ballots ,212,158,158
Kittias,40-RIDGEWAY,,,,Ballots ,265,216,215
Kittias,41-ROSLYN 1,,,,Ballots ,155,123,123
Kittias,42-ROSLYN 2,,,,Ballots ,138,121,121
Kittias,45-ROSLYN OUTLYING (vbm),,,,Ballots ,203,209,209
Kittias,46-SANDERS,,,,Ballots ,112,94,94
Kittias,47-SOUTH CLE ELUM,,,,Ballots ,121,111,111
Kittias,48-SOUTH ELLENSBURG,,,,Ballots ,263,242,242
Kittias,50-SWAUK,,,,Ballots ,230,233,233
Kittias,51-TEANAWAY,,,,Ballots ,148,118,118
Kittias,52-THORP,,,,Ballots ,234,200,199
Kittias,56-THRALL,,,,Ballots ,190,159,159
Kittias,53-VANTAGE (vbm),,,,Ballots ,46,47,47
Kittias,999-ABSENTEE- 10247,,,,Ballots ,7614,8816,8821
Kittias,,,,,Ballots ,16220,16254,16253
Kittias,49-CANYON,Governor,,D,Christine Gregoire,21,20,20
Kittias,1-CLE ELUM 1,Governor,,D,Christine Gregoire,34,27,27
Kittias,2-CLE ELUM 2,Governor,,D,Christine Gregoire,36,31,31
Kittias,3-CLE ELUM 3,Governor,,D,Christine Gregoire,26,17,17
Kittias,4-CLE ELUM 4,Governor,,D,Christine Gregoire,59,55,55
Kittias,57-CLIFFDELL (vbm),Governor,,D,Christine Gregoire,,,
Kittias,58-DAMMAN,Governor,,D,Christine Gregoire,61,50,50
Kittias,5-DENMARK,Governor,,D,Christine Gregoire,45,38,38
Kittias,43-DRY CREEK,Governor,,D,Christine Gregoire,61,45,45
Kittias,6-EAST SANDERS,Governor,,D,Christine Gregoire,55,47,47
Kittias,7-EASTON,Governor,,D,Christine Gregoire,65,54,54
Kittias,8-ELLENSBURG 1,Governor,,D,Christine Gregoire,35,29,29
Kittias,9-ELLENSBURG 2,Governor,,D,Christine Gregoire,50,47,47
Kittias,10-ELLENSBURG 3,Governor,,D,Christine Gregoire,20,18,18
Kittias,11-ELLENSBURG 4,Governor,,D,Christine Gregoire,41,37,37
Kittias,12-ELLENSBURG 5,Governor,,D,Christine Gregoire,47,42,42
Kittias,13-ELLENSBURG 6,Governor,,D,Christine Gregoire,34,27,27
Kittias,14-ELLENSBURG 7,Governor,,D,Christine Gregoire,38,34,34
Kittias,15-ELLENSBURG 8,Governor,,D,Christine Gregoire,42,32,32
Kittias,16-ELLENSBURG 9,Governor,,D,Christine Gregoire,38,33,33
Kittias,17-ELLENSBURG 10,Governor,,D,Christine Gregoire,61,57,57
Kittias,18-ELLENSBURG 11,Governor,,D,Christine Gregoire,59,54,54
Kittias,19-ELLENSBURG 12,Governor,,D,Christine Gregoire,64,62,62
Kittias,20-ELLENSBURG 13,Governor,,D,Christine Gregoire,46,38,38
Kittias,21-ELLENSBURG 14,Governor,,D,Christine Gregoire,44,40,40
Kittias,22-ELLENSBURG 15,Governor,,D,Christine Gregoire,72,68,68
Kittias,23-ELLENSBURG 16,Governor,,D,Christine Gregoire,63,52,52
Kittias,24-ELLENSBURG 17,Governor,,D,Christine Gregoire,106,84,84
Kittias,25-ELLENSBURG 18,Governor,,D,Christine Gregoire,44,35,35
Kittias,26-ELLENSBURG 19,Governor,,D,Christine Gregoire,196,172,172
Kittias,27-ELLENSBURG 20,Governor,,D,Christine Gregoire,45,41,41
Kittias,28-ELLENSBURG 21,Governor,,D,Christine Gregoire,43,36,36
Kittias,29-ELLENSBURG 22,Governor,,D,Christine Gregoire,48,41,41
Kittias,30-ELLENSBURG 23,Governor,,D,Christine Gregoire,43,39,39
Kittias,31-ELLENSBURG 24,Governor,,D,Christine Gregoire,59,44,44
Kittias,54-FAIRVIEW,Governor,,D,Christine Gregoire,36,28,28
Kittias,32-HYAK (vbm),Governor,,D,Christine Gregoire,61,62,62
Kittias,59-KACHESS (vbm),Governor,,D,Christine Gregoire,82,83,83
Kittias,33-KITTITAS 1,Governor,,D,Christine Gregoire,34,29,29
Kittias,60-KITTITAS 2,Governor,,D,Christine Gregoire,48,42,42
Kittias,34-MANASTASH,Governor,,D,Christine Gregoire,67,54,54
Kittias,35-MOUNTAIN,Governor,,D,Christine Gregoire,51,33,33
Kittias,36-NORTH CENTRAL,Governor,,D,Christine Gregoire,51,45,45
Kittias,37-NORTH ELLENSBURG,Governor,,D,Christine Gregoire,52,44,44
Kittias,55-NORTH EAST FAIRVIEW,Governor,,D,Christine Gregoire,53,42,42
Kittias,38-PARK,Governor,,D,Christine Gregoire,35,28,28
Kittias,39-PEOH POINT,Governor,,D,Christine Gregoire,75,60,60
Kittias,40-RIDGEWAY,Governor,,D,Christine Gregoire,74,60,60
Kittias,41-ROSLYN 1,Governor,,D,Christine Gregoire,91,75,75
Kittias,42-ROSLYN 2,Governor,,D,Christine Gregoire,75,65,65
Kittias,45-ROSLYN OUTLYING (vbm),Governor,,D,Christine Gregoire,75,79,79
Kittias,46-SANDERS,Governor,,D,Christine Gregoire,30,25,25
Kittias,47-SOUTH CLE ELUM,Governor,,D,Christine Gregoire,43,40,40
Kittias,48-SOUTH ELLENSBURG,Governor,,D,Christine Gregoire,100,91,91
Kittias,50-SWAUK,Governor,,D,Christine Gregoire,61,62,62
Kittias,51-TEANAWAY,Governor,,D,Christine Gregoire,53,44,44
Kittias,52-THORP,Governor,,D,Christine Gregoire,55,44,44
Kittias,56-THRALL,Governor,,D,Christine Gregoire,45,34,34
Kittias,53-VANTAGE (vbm),Governor,,D,Christine Gregoire,13,13,13
Kittias,999-ABSENTEE- 10247,Governor,,D,Christine Gregoire,2945,3397,3397
Kittias,,Governor,,D,Christine Gregoire,6106,6125,6125
Kittias,49-CANYON,Governor,,R,Dino Rossi,40,33,33
Kittias,1-CLE ELUM 1,Governor,,R,Dino Rossi,77,64,64
Kittias,2-CLE ELUM 2,Governor,,R,Dino Rossi,56,52,52
Kittias,3-CLE ELUM 3,Governor,,R,Dino Rossi,26,25,25
Kittias,4-CLE ELUM 4,Governor,,R,Dino Rossi,105,95,95
Kittias,57-CLIFFDELL (vbm),Governor,,R,Dino Rossi,,,
Kittias,58-DAMMAN,Governor,,R,Dino Rossi,156,130,130
Kittias,5-DENMARK,Governor,,R,Dino Rossi,182,146,146
Kittias,43-DRY CREEK,Governor,,R,Dino Rossi,141,117,117
Kittias,6-EAST SANDERS,Governor,,R,Dino Rossi,117,92,92
Kittias,7-EASTON,Governor,,R,Dino Rossi,98,86,86
Kittias,8-ELLENSBURG 1,Governor,,R,Dino Rossi,32,31,31
Kittias,9-ELLENSBURG 2,Governor,,R,Dino Rossi,24,18,18
Kittias,10-ELLENSBURG 3,Governor,,R,Dino Rossi,21,15,15
Kittias,11-ELLENSBURG 4,Governor,,R,Dino Rossi,28,26,26
Kittias,12-ELLENSBURG 5,Governor,,R,Dino Rossi,44,40,40
Kittias,13-ELLENSBURG 6,Governor,,R,Dino Rossi,33,27,27
Kittias,14-ELLENSBURG 7,Governor,,R,Dino Rossi,27,23,23
Kittias,15-ELLENSBURG 8,Governor,,R,Dino Rossi,39,33,33
Kittias,16-ELLENSBURG 9,Governor,,R,Dino Rossi,40,33,33
Kittias,17-ELLENSBURG 10,Governor,,R,Dino Rossi,47,43,43
Kittias,18-ELLENSBURG 11,Governor,,R,Dino Rossi,64,57,57
Kittias,19-ELLENSBURG 12,Governor,,R,Dino Rossi,28,21,21
Kittias,20-ELLENSBURG 13,Governor,,R,Dino Rossi,52,38,38
Kittias,21-ELLENSBURG 14,Governor,,R,Dino Rossi,38,35,35
Kittias,22-ELLENSBURG 15,Governor,,R,Dino Rossi,111,101,101
Kittias,23-ELLENSBURG 16,Governor,,R,Dino Rossi,82,69,69
Kittias,24-ELLENSBURG 17,Governor,,R,Dino Rossi,124,104,104
Kittias,25-ELLENSBURG 18,Governor,,R,Dino Rossi,40,38,38
Kittias,26-ELLENSBURG 19,Governor,,R,Dino Rossi,234,205,205
Kittias,27-ELLENSBURG 20,Governor,,R,Dino Rossi,38,33,33
Kittias,28-ELLENSBURG 21,Governor,,R,Dino Rossi,61,47,47
Kittias,29-ELLENSBURG 22,Governor,,R,Dino Rossi,97,84,84
Kittias,30-ELLENSBURG 23,Governor,,R,Dino Rossi,64,55,55
Kittias,31-ELLENSBURG 24,Governor,,R,Dino Rossi,115,98,98
Kittias,54-FAIRVIEW,Governor,,R,Dino Rossi,94,82,82
Kittias,32-HYAK (vbm),Governor,,R,Dino Rossi,77,78,78
Kittias,59-KACHESS (vbm),Governor,,R,Dino Rossi,116,116,116
Kittias,33-KITTITAS 1,Governor,,R,Dino Rossi,84,74,74
Kittias,60-KITTITAS 2,Governor,,R,Dino Rossi,115,102,103
Kittias,34-MANASTASH,Governor,,R,Dino Rossi,96,79,79
Kittias,35-MOUNTAIN,Governor,,R,Dino Rossi,70,56,56
Kittias,36-NORTH CENTRAL,Governor,,R,Dino Rossi,145,126,126
Kittias,37-NORTH ELLENSBURG,Governor,,R,Dino Rossi,102,83,83
Kittias,55-NORTH EAST FAIRVIEW,Governor,,R,Dino Rossi,142,120,120
Kittias,38-PARK,Governor,,R,Dino Rossi,162,131,131
Kittias,39-PEOH POINT,Governor,,R,Dino Rossi,134,95,95
Kittias,40-RIDGEWAY,Governor,,R,Dino Rossi,183,150,150
Kittias,41-ROSLYN 1,Governor,,R,Dino Rossi,58,44,44
Kittias,42-ROSLYN 2,Governor,,R,Dino Rossi,50,44,44
Kittias,45-ROSLYN OUTLYING (vbm),Governor,,R,Dino Rossi,121,123,123
Kittias,46-SANDERS,Governor,,R,Dino Rossi,76,64,64
Kittias,47-SOUTH CLE ELUM,Governor,,R,Dino Rossi,74,69,69
Kittias,48-SOUTH ELLENSBURG,Governor,,R,Dino Rossi,161,149,149
Kittias,50-SWAUK,Governor,,R,Dino Rossi,161,163,163
Kittias,51-TEANAWAY,Governor,,R,Dino Rossi,91,71,71
Kittias,52-THORP,Governor,,R,Dino Rossi,168,145,145
Kittias,56-THRALL,Governor,,R,Dino Rossi,141,122,122
Kittias,53-VANTAGE (vbm),Governor,,R,Dino Rossi,32,33,33
Kittias,999-ABSENTEE- 10247,Governor,,R,Dino Rossi,4407,5134,5133
Kittias,,Governor,,R,Dino Rossi,9541,9567,9567
Kittias,49-CANYON,Governor,,L,Ruth Bennett,0,0,0
Kittias,1-CLE ELUM 1,Governor,,L,Ruth Bennett,2,2,2
Kittias,2-CLE ELUM 2,Governor,,L,Ruth Bennett,2,2,2
Kittias,3-CLE ELUM 3,Governor,,L,Ruth Bennett,2,2,2
Kittias,4-CLE ELUM 4,Governor,,L,Ruth Bennett,0,0,0
Kittias,57-CLIFFDELL (vbm),Governor,,L,Ruth Bennett,,,
Kittias,58-DAMMAN,Governor,,L,Ruth Bennett,2,2,2
Kittias,5-DENMARK,Governor,,L,Ruth Bennett,1,1,1
Kittias,43-DRY CREEK,Governor,,L,Ruth Bennett,2,1,1
Kittias,6-EAST SANDERS,Governor,,L,Ruth Bennett,2,2,2
Kittias,7-EASTON,Governor,,L,Ruth Bennett,1,1,1
Kittias,8-ELLENSBURG 1,Governor,,L,Ruth Bennett,4,3,3
Kittias,9-ELLENSBURG 2,Governor,,L,Ruth Bennett,0,0,0
Kittias,10-ELLENSBURG 3,Governor,,L,Ruth Bennett,2,2,2
Kittias,11-ELLENSBURG 4,Governor,,L,Ruth Bennett,0,0,0
Kittias,12-ELLENSBURG 5,Governor,,L,Ruth Bennett,3,1,1
Kittias,13-ELLENSBURG 6,Governor,,L,Ruth Bennett,3,3,3
Kittias,14-ELLENSBURG 7,Governor,,L,Ruth Bennett,2,1,1
Kittias,15-ELLENSBURG 8,Governor,,L,Ruth Bennett,4,3,3
Kittias,16-ELLENSBURG 9,Governor,,L,Ruth Bennett,1,1,1
Kittias,17-ELLENSBURG 10,Governor,,L,Ruth Bennett,2,2,2
Kittias,18-ELLENSBURG 11,Governor,,L,Ruth Bennett,2,2,2
Kittias,19-ELLENSBURG 12,Governor,,L,Ruth Bennett,0,0,0
Kittias,20-ELLENSBURG 13,Governor,,L,Ruth Bennett,3,3,3
Kittias,21-ELLENSBURG 14,Governor,,L,Ruth Bennett,1,1,1
Kittias,22-ELLENSBURG 15,Governor,,L,Ruth Bennett,2,2,2
Kittias,23-ELLENSBURG 16,Governor,,L,Ruth Bennett,5,5,5
Kittias,24-ELLENSBURG 17,Governor,,L,Ruth Bennett,7,7,7
Kittias,25-ELLENSBURG 18,Governor,,L,Ruth Bennett,2,1,1
Kittias,26-ELLENSBURG 19,Governor,,L,Ruth Bennett,13,11,11
Kittias,27-ELLENSBURG 20,Governor,,L,Ruth Bennett,3,2,2
Kittias,28-ELLENSBURG 21,Governor,,L,Ruth Bennett,2,1,1
Kittias,29-ELLENSBURG 22,Governor,,L,Ruth Bennett,5,5,5
Kittias,30-ELLENSBURG 23,Governor,,L,Ruth Bennett,3,3,3
Kittias,31-ELLENSBURG 24,Governor,,L,Ruth Bennett,0,0,0
Kittias,54-FAIRVIEW,Governor,,L,Ruth Bennett,2,1,1
Kittias,32-HYAK (vbm),Governor,,L,Ruth Bennett,8,8,8
Kittias,59-KACHESS (vbm),Governor,,L,Ruth Bennett,3,3,3
Kittias,33-KITTITAS 1,Governor,,L,Ruth Bennett,2,2,2
Kittias,60-KITTITAS 2,Governor,,L,Ruth Bennett,3,3,3
Kittias,34-MANASTASH,Governor,,L,Ruth Bennett,3,3,3
Kittias,35-MOUNTAIN,Governor,,L,Ruth Bennett,5,5,5
Kittias,36-NORTH CENTRAL,Governor,,L,Ruth Bennett,0,0,0
Kittias,37-NORTH ELLENSBURG,Governor,,L,Ruth Bennett,2,2,2
Kittias,55-NORTH EAST FAIRVIEW,Governor,,L,Ruth Bennett,1,0,0
Kittias,38-PARK,Governor,,L,Ruth Bennett,4,4,4
Kittias,39-PEOH POINT,Governor,,L,Ruth Bennett,3,3,3
Kittias,40-RIDGEWAY,Governor,,L,Ruth Bennett,2,1,1
Kittias,41-ROSLYN 1,Governor,,L,Ruth Bennett,2,1,1
Kittias,42-ROSLYN 2,Governor,,L,Ruth Bennett,6,5,5
Kittias,45-ROSLYN OUTLYING (vbm),Governor,,L,Ruth Bennett,3,3,3
Kittias,46-SANDERS,Governor,,L,Ruth Bennett,1,1,1
Kittias,47-SOUTH CLE ELUM,Governor,,L,Ruth Bennett,2,2,2
Kittias,48-SOUTH ELLENSBURG,Governor,,L,Ruth Bennett,2,2,2
Kittias,50-SWAUK,Governor,,L,Ruth Bennett,3,3,3
Kittias,51-TEANAWAY,Governor,,L,Ruth Bennett,3,2,2
Kittias,52-THORP,Governor,,L,Ruth Bennett,6,6,6
Kittias,56-THRALL,Governor,,L,Ruth Bennett,2,2,2
Kittias,53-VANTAGE (vbm),Governor,,L,Ruth Bennett,1,1,1
Kittias,999-ABSENTEE- 10247,Governor,,L,Ruth Bennett,123,142,142
Kittias,,Governor,,L,Ruth Bennett,275,277,277
Kittias,49-CANYON,Governor,,,Write-ins,0,0,0
Kittias,1-CLE ELUM 1,Governor,,,Write-ins,0,0,0
Kittias,2-CLE ELUM 2,Governor,,,Write-ins,0,0,0
Kittias,3-CLE ELUM 3,Governor,,,Write-ins,0,0,0
Kittias,4-CLE ELUM 4,Governor,,,Write-ins,0,0,0
Kittias,57-CLIFFDELL (vbm),Governor,,,Write-ins,,0,
Kittias,58-DAMMAN,Governor,,,Write-ins,1,1,0
Kittias,5-DENMARK,Governor,,,Write-ins,0,0,0
Kittias,43-DRY CREEK,Governor,,,Write-ins,0,0,0
Kittias,6-EAST SANDERS,Governor,,,Write-ins,0,0,0
Kittias,7-EASTON,Governor,,,Write-ins,1,1,1
Kittias,8-ELLENSBURG 1,Governor,,,Write-ins,0,0,0
Kittias,9-ELLENSBURG 2,Governor,,,Write-ins,0,0,0
Kittias,10-ELLENSBURG 3,Governor,,,Write-ins,0,0,0
Kittias,11-ELLENSBURG 4,Governor,,,Write-ins,0,0,0
Kittias,12-ELLENSBURG 5,Governor,,,Write-ins,1,1,0
Kittias,13-ELLENSBURG 6,Governor,,,Write-ins,0,0,0
Kittias,14-ELLENSBURG 7,Governor,,,Write-ins,0,0,0
Kittias,15-ELLENSBURG 8,Governor,,,Write-ins,0,1,0
Kittias,16-ELLENSBURG 9,Governor,,,Write-ins,0,0,0
Kittias,17-ELLENSBURG 10,Governor,,,Write-ins,0,0,0
Kittias,18-ELLENSBURG 11,Governor,,,Write-ins,0,0,0
Kittias,19-ELLENSBURG 12,Governor,,,Write-ins,0,0,0
Kittias,20-ELLENSBURG 13,Governor,,,Write-ins,0,0,0
Kittias,21-ELLENSBURG 14,Governor,,,Write-ins,0,0,0
Kittias,22-ELLENSBURG 15,Governor,,,Write-ins,1,1,1
Kittias,23-ELLENSBURG 16,Governor,,,Write-ins,0,0,0
Kittias,24-ELLENSBURG 17,Governor,,,Write-ins,1,3,1
Kittias,25-ELLENSBURG 18,Governor,,,Write-ins,2,2,0
Kittias,26-ELLENSBURG 19,Governor,,,Write-ins,2,2,1
Kittias,27-ELLENSBURG 20,Governor,,,Write-ins,0,0,0
Kittias,28-ELLENSBURG 21,Governor,,,Write-ins,1,1,1
Kittias,29-ELLENSBURG 22,Governor,,,Write-ins,1,1,1
Kittias,30-ELLENSBURG 23,Governor,,,Write-ins,1,1,1
Kittias,31-ELLENSBURG 24,Governor,,,Write-ins,0,0,0
Kittias,54-FAIRVIEW,Governor,,,Write-ins,0,0,0
Kittias,32-HYAK (vbm),Governor,,,Write-ins,0,0,0
Kittias,59-KACHESS (vbm),Governor,,,Write-ins,0,0,0
Kittias,33-KITTITAS 1,Governor,,,Write-ins,0,0,0
Kittias,60-KITTITAS 2,Governor,,,Write-ins,0,0,0
Kittias,34-MANASTASH,Governor,,,Write-ins,0,0,0
Kittias,35-MOUNTAIN,Governor,,,Write-ins,0,0,0
Kittias,36-NORTH CENTRAL,Governor,,,Write-ins,0,0,0
Kittias,37-NORTH ELLENSBURG,Governor,,,Write-ins,0,1,0
Kittias,55-NORTH EAST FAIRVIEW,Governor,,,Write-ins,0,0,0
Kittias,38-PARK,Governor,,,Write-ins,0,0,0
Kittias,39-PEOH POINT,Governor,,,Write-ins,0,0,0
Kittias,40-RIDGEWAY,Governor,,,Write-ins,2,2,1
Kittias,41-ROSLYN 1,Governor,,,Write-ins,0,0,0
Kittias,42-ROSLYN 2,Governor,,,Write-ins,0,0,0
Kittias,45-ROSLYN OUTLYING (vbm),Governor,,,Write-ins,0,0,0
Kittias,46-SANDERS,Governor,,,Write-ins,0,0,0
Kittias,47-SOUTH CLE ELUM,Governor,,,Write-ins,0,0,0
Kittias,48-SOUTH ELLENSBURG,Governor,,,Write-ins,0,0,0
Kittias,50-SWAUK,Governor,,,Write-ins,1,1,0
Kittias,51-TEANAWAY,Governor,,,Write-ins,0,0,0
Kittias,52-THORP,Governor,,,Write-ins,1,2,1
Kittias,56-THRALL,Governor,,,Write-ins,0,0,0
Kittias,53-VANTAGE (vbm),Governor,,,Write-ins,0,0,0
Kittias,999-ABSENTEE- 10247,Governor,,,Write-ins,6,1,3
Kittias,,Governor,,,Write-ins,22,22,12
