Number,Name,office,district,party,candidate,votes,early,poll
46,SANDERS,U.S. Senate,,D,Maria Cantwell,64,51,13
47,SOUTH CLE ELUM,U.S. Senate,,D,Maria Cantwell,82,55,27
48,SOUTH ELLENSBURG,U.S. Senate,,D,Maria Cantwell,200,139,61
49,CANYON,U.S. Senate,,D,Maria Cantwell,36,32,4
50,SWAUK (vbm),U.S. Senate,,D,Maria Cantwell,64,0,64
51,TEANAWAY (vbm),U.S. Senate,,D,Maria Cantwell,112,0,112
52,THORP,U.S. Senate,,D,Maria Cantwell,125,112,13
53,VANTAGE (vbm),U.S. Senate,,D,Maria Cantwell,12,0,12
54,NORTH EAST FAIRVIEW,U.S. Senate,,D,Maria Cantwell,88,69,19
55,FAIRVIEW,U.S. Senate,,D,Maria Cantwell,95,72,23
56,THRALL,U.S. Senate,,D,Maria Cantwell,91,76,15
58,DAMMAN,U.S. Senate,,D,Maria Cantwell,124,101,23
59,KACHESS (vbm),U.S. Senate,,D,Maria Cantwell,53,0,53
60,KITTITAS 2,U.S. Senate,,D,Maria Cantwell,63,54,9
61,ELLENSBURG 25,U.S. Senate,,D,Maria Cantwell,119,88,31
62,RONALD (vbm),U.S. Senate,,D,Maria Cantwell,62,0,62
99,KITTITAS WA,U.S. Senate,,D,Maria Cantwell,0,0,0
1,CLE ELUM 1,U.S. Senate,,R,Mike McGavick,94,66,28
2,CLE ELUM 2,U.S. Senate,,R,Mike McGavick,57,35,22
3,CLE ELUM 3,U.S. Senate,,R,Mike McGavick,29,16,13
4,CLE ELUM 4,U.S. Senate,,R,Mike McGavick,101,70,31
5,DENMARK,U.S. Senate,,R,Mike McGavick,282,226,56
6,EAST SANDERS,U.S. Senate,,R,Mike McGavick,181,145,36
7,EASTON,U.S. Senate,,R,Mike McGavick,165,139,26
8,ELLENSBURG 1,U.S. Senate,,R,Mike McGavick,17,12,5
9,ELLENSBURG 2,U.S. Senate,,R,Mike McGavick,21,15,6
10,ELLENSBURG 3,U.S. Senate,,R,Mike McGavick,16,10,6
11,ELLENSBURG 4,U.S. Senate,,R,Mike McGavick,29,19,10
12,ELLENSBURG 5,U.S. Senate,,R,Mike McGavick,40,24,16
13,ELLENSBURG 6,U.S. Senate,,R,Mike McGavick,25,17,8
14,ELLENSBURG 7,U.S. Senate,,R,Mike McGavick,25,14,11
15,ELLENSBURG 8,U.S. Senate,,R,Mike McGavick,43,31,12
16,ELLENSBURG 9,U.S. Senate,,R,Mike McGavick,30,14,16
17,ELLENSBURG 10,U.S. Senate,,R,Mike McGavick,57,32,25
18,ELLENSBURG 11,U.S. Senate,,R,Mike McGavick,56,38,18
19,ELLENSBURG 12,U.S. Senate,,R,Mike McGavick,51,45,6
20,ELLENSBURG 13,U.S. Senate,,R,Mike McGavick,50,41,9
21,ELLENSBURG 14,U.S. Senate,,R,Mike McGavick,49,37,12
22,ELLENSBURG 15,U.S. Senate,,R,Mike McGavick,150,105,45
23,ELLENSBURG 16,U.S. Senate,,R,Mike McGavick,36,23,13
24,ELLENSBURG 17,U.S. Senate,,R,Mike McGavick,81,63,18
25,ELLENSBURG 18,U.S. Senate,,R,Mike McGavick,9,4,5
26,ELLENSBURG 19,U.S. Senate,,R,Mike McGavick,127,101,26
27,ELLENSBURG 20,U.S. Senate,,R,Mike McGavick,43,26,17
28,ELLENSBURG 21,U.S. Senate,,R,Mike McGavick,50,40,10
29,ELLENSBURG 22,U.S. Senate,,R,Mike McGavick,99,65,34
30,ELLENSBURG 23,U.S. Senate,,R,Mike McGavick,116,95,21
31,ELLENSBURG 24,U.S. Senate,,R,Mike McGavick,156,116,40
32,HYAK (vbm),U.S. Senate,,R,Mike McGavick,48,0,48
33,KITTITAS 1,U.S. Senate,,R,Mike McGavick,79,64,15
34,MANASTASH,U.S. Senate,,R,Mike McGavick,152,123,29
35,MOUNTAIN (vbm),U.S. Senate,,R,Mike McGavick,71,0,71
36,NORTH CENTRAL,U.S. Senate,,R,Mike McGavick,235,177,58
37,NORTH ELLENSBURG,U.S. Senate,,R,Mike McGavick,161,126,35
38,PARK,U.S. Senate,,R,Mike McGavick,216,178,38
39,PEOH POINT,U.S. Senate,,R,Mike McGavick,202,171,31
40,RIDGEWAY,U.S. Senate,,R,Mike McGavick,310,239,71
41,ROSLYN 1,U.S. Senate,,R,Mike McGavick,68,47,21
42,ROSLYN 2,U.S. Senate,,R,Mike McGavick,76,61,15
43,DRY CREEK,U.S. Senate,,R,Mike McGavick,260,209,51
44,WESTSIDE (vbm),U.S. Senate,,R,Mike McGavick,165,0,165
45,ROSLYN OUTLYING (vbm),U.S. Senate,,R,Mike McGavick,25,0,25
46,SANDERS,U.S. Senate,,R,Mike McGavick,88,66,22
47,SOUTH CLE ELUM,U.S. Senate,,R,Mike McGavick,103,84,19
48,SOUTH ELLENSBURG,U.S. Senate,,R,Mike McGavick,181,129,52
49,CANYON,U.S. Senate,,R,Mike McGavick,52,44,8
50,SWAUK (vbm),U.S. Senate,,R,Mike McGavick,135,0,135
51,TEANAWAY (vbm),U.S. Senate,,R,Mike McGavick,164,0,164
52,THORP,U.S. Senate,,R,Mike McGavick,211,181,30
53,VANTAGE (vbm),U.S. Senate,,R,Mike McGavick,22,0,22
54,NORTH EAST FAIRVIEW,U.S. Senate,,R,Mike McGavick,123,86,37
55,FAIRVIEW,U.S. Senate,,R,Mike McGavick,215,176,39
56,THRALL,U.S. Senate,,R,Mike McGavick,216,175,41
58,DAMMAN,U.S. Senate,,R,Mike McGavick,197,154,43
59,KACHESS (vbm),U.S. Senate,,R,Mike McGavick,87,0,87
60,KITTITAS 2,U.S. Senate,,R,Mike McGavick,98,81,17
61,ELLENSBURG 25,U.S. Senate,,R,Mike McGavick,114,82,32
62,RONALD (vbm),U.S. Senate,,R,Mike McGavick,60,0,60
99,KITTITAS WA,U.S. Senate,,R,Mike McGavick,6419,0,0
1,CLE ELUM 1,U.S. Senate,,L,Bruce Guthrie,2,2,0
2,CLE ELUM 2,U.S. Senate,,L,Bruce Guthrie,9,8,1
3,CLE ELUM 3,U.S. Senate,,L,Bruce Guthrie,1,1,0
4,CLE ELUM 4,U.S. Senate,,L,Bruce Guthrie,6,5,1
5,DENMARK,U.S. Senate,,L,Bruce Guthrie,5,4,1
6,EAST SANDERS,U.S. Senate,,L,Bruce Guthrie,3,2,1
7,EASTON,U.S. Senate,,L,Bruce Guthrie,5,5,0
8,ELLENSBURG 1,U.S. Senate,,L,Bruce Guthrie,1,1,0
9,ELLENSBURG 2,U.S. Senate,,L,Bruce Guthrie,4,4,0
10,ELLENSBURG 3,U.S. Senate,,L,Bruce Guthrie,1,0,1
11,ELLENSBURG 4,U.S. Senate,,L,Bruce Guthrie,3,2,1
12,ELLENSBURG 5,U.S. Senate,,L,Bruce Guthrie,0,0,0
13,ELLENSBURG 6,U.S. Senate,,L,Bruce Guthrie,3,3,0
14,ELLENSBURG 7,U.S. Senate,,L,Bruce Guthrie,1,1,0
15,ELLENSBURG 8,U.S. Senate,,L,Bruce Guthrie,2,2,0
16,ELLENSBURG 9,U.S. Senate,,L,Bruce Guthrie,0,0,0
17,ELLENSBURG 10,U.S. Senate,,L,Bruce Guthrie,1,0,1
18,ELLENSBURG 11,U.S. Senate,,L,Bruce Guthrie,2,2,0
19,ELLENSBURG 12,U.S. Senate,,L,Bruce Guthrie,1,1,0
20,ELLENSBURG 13,U.S. Senate,,L,Bruce Guthrie,1,0,1
21,ELLENSBURG 14,U.S. Senate,,L,Bruce Guthrie,1,0,1
22,ELLENSBURG 15,U.S. Senate,,L,Bruce Guthrie,3,2,1
23,ELLENSBURG 16,U.S. Senate,,L,Bruce Guthrie,5,3,2
24,ELLENSBURG 17,U.S. Senate,,L,Bruce Guthrie,3,2,1
25,ELLENSBURG 18,U.S. Senate,,L,Bruce Guthrie,1,0,1
26,ELLENSBURG 19,U.S. Senate,,L,Bruce Guthrie,7,6,1
27,ELLENSBURG 20,U.S. Senate,,L,Bruce Guthrie,1,1,0
28,ELLENSBURG 21,U.S. Senate,,L,Bruce Guthrie,1,0,1
29,ELLENSBURG 22,U.S. Senate,,L,Bruce Guthrie,5,2,3
30,ELLENSBURG 23,U.S. Senate,,L,Bruce Guthrie,10,3,7
31,ELLENSBURG 24,U.S. Senate,,L,Bruce Guthrie,3,1,2
32,HYAK (vbm),U.S. Senate,,L,Bruce Guthrie,1,0,1
33,KITTITAS 1,U.S. Senate,,L,Bruce Guthrie,2,2,0
34,MANASTASH,U.S. Senate,,L,Bruce Guthrie,3,3,0
35,MOUNTAIN (vbm),U.S. Senate,,L,Bruce Guthrie,2,0,2
36,NORTH CENTRAL,U.S. Senate,,L,Bruce Guthrie,3,2,1
37,NORTH ELLENSBURG,U.S. Senate,,L,Bruce Guthrie,1,1,0
38,PARK,U.S. Senate,,L,Bruce Guthrie,4,3,1
39,PEOH POINT,U.S. Senate,,L,Bruce Guthrie,0,0,0
40,RIDGEWAY,U.S. Senate,,L,Bruce Guthrie,5,4,1
41,ROSLYN 1,U.S. Senate,,L,Bruce Guthrie,4,3,1
42,ROSLYN 2,U.S. Senate,,L,Bruce Guthrie,1,0,1
43,DRY CREEK,U.S. Senate,,L,Bruce Guthrie,7,6,1
44,WESTSIDE (vbm),U.S. Senate,,L,Bruce Guthrie,2,0,2
45,ROSLYN OUTLYING (vbm),U.S. Senate,,L,Bruce Guthrie,0,0,0
46,SANDERS,U.S. Senate,,L,Bruce Guthrie,6,6,0
47,SOUTH CLE ELUM,U.S. Senate,,L,Bruce Guthrie,3,2,1
48,SOUTH ELLENSBURG,U.S. Senate,,L,Bruce Guthrie,1,1,0
49,CANYON,U.S. Senate,,L,Bruce Guthrie,0,0,0
50,SWAUK (vbm),U.S. Senate,,L,Bruce Guthrie,2,0,2
51,TEANAWAY (vbm),U.S. Senate,,L,Bruce Guthrie,4,0,4
52,THORP,U.S. Senate,,L,Bruce Guthrie,6,4,2
53,VANTAGE (vbm),U.S. Senate,,L,Bruce Guthrie,0,0,0
54,NORTH EAST FAIRVIEW,U.S. Senate,,L,Bruce Guthrie,1,1,0
55,FAIRVIEW,U.S. Senate,,L,Bruce Guthrie,2,1,1
56,THRALL,U.S. Senate,,L,Bruce Guthrie,2,1,1
58,DAMMAN,U.S. Senate,,L,Bruce Guthrie,2,2,0
59,KACHESS (vbm),U.S. Senate,,L,Bruce Guthrie,2,0,2
60,KITTITAS 2,U.S. Senate,,L,Bruce Guthrie,4,4,0
61,ELLENSBURG 25,U.S. Senate,,L,Bruce Guthrie,4,2,2
62,RONALD (vbm),U.S. Senate,,L,Bruce Guthrie,4,0,4
99,KITTITAS WA,U.S. Senate,,L,Bruce Guthrie,169,0,0
1,CLE ELUM 1,U.S. Senate,,I,Robin Adair,0,0,0
2,CLE ELUM 2,U.S. Senate,,I,Robin Adair,1,0,1
3,CLE ELUM 3,U.S. Senate,,I,Robin Adair,0,0,0
4,CLE ELUM 4,U.S. Senate,,I,Robin Adair,0,0,0
5,DENMARK,U.S. Senate,,I,Robin Adair,1,1,0
6,EAST SANDERS,U.S. Senate,,I,Robin Adair,3,3,0
7,EASTON,U.S. Senate,,I,Robin Adair,3,3,0
8,ELLENSBURG 1,U.S. Senate,,I,Robin Adair,1,1,0
9,ELLENSBURG 2,U.S. Senate,,I,Robin Adair,0,0,0
10,ELLENSBURG 3,U.S. Senate,,I,Robin Adair,0,0,0
11,ELLENSBURG 4,U.S. Senate,,I,Robin Adair,1,1,0
12,ELLENSBURG 5,U.S. Senate,,I,Robin Adair,1,1,0
13,ELLENSBURG 6,U.S. Senate,,I,Robin Adair,0,0,0
14,ELLENSBURG 7,U.S. Senate,,I,Robin Adair,1,1,0
15,ELLENSBURG 8,U.S. Senate,,I,Robin Adair,5,5,0
16,ELLENSBURG 9,U.S. Senate,,I,Robin Adair,0,0,0
17,ELLENSBURG 10,U.S. Senate,,I,Robin Adair,0,0,0
18,ELLENSBURG 11,U.S. Senate,,I,Robin Adair,0,0,0
19,ELLENSBURG 12,U.S. Senate,,I,Robin Adair,0,0,0
20,ELLENSBURG 13,U.S. Senate,,I,Robin Adair,0,0,0
21,ELLENSBURG 14,U.S. Senate,,I,Robin Adair,0,0,0
22,ELLENSBURG 15,U.S. Senate,,I,Robin Adair,3,2,1
23,ELLENSBURG 16,U.S. Senate,,I,Robin Adair,1,1,0
24,ELLENSBURG 17,U.S. Senate,,I,Robin Adair,1,1,0
25,ELLENSBURG 18,U.S. Senate,,I,Robin Adair,0,0,0
26,ELLENSBURG 19,U.S. Senate,,I,Robin Adair,2,1,1
27,ELLENSBURG 20,U.S. Senate,,I,Robin Adair,1,1,0
28,ELLENSBURG 21,U.S. Senate,,I,Robin Adair,4,4,0
29,ELLENSBURG 22,U.S. Senate,,I,Robin Adair,5,2,3
30,ELLENSBURG 23,U.S. Senate,,I,Robin Adair,1,1,0
31,ELLENSBURG 24,U.S. Senate,,I,Robin Adair,1,0,1
32,HYAK (vbm),U.S. Senate,,I,Robin Adair,1,0,1
33,KITTITAS 1,U.S. Senate,,I,Robin Adair,1,1,0
34,MANASTASH,U.S. Senate,,I,Robin Adair,4,4,0
35,MOUNTAIN (vbm),U.S. Senate,,I,Robin Adair,0,0,0
36,NORTH CENTRAL,U.S. Senate,,I,Robin Adair,2,1,1
37,NORTH ELLENSBURG,U.S. Senate,,I,Robin Adair,2,2,0
38,PARK,U.S. Senate,,I,Robin Adair,5,4,1
39,PEOH POINT,U.S. Senate,,I,Robin Adair,3,3,0
40,RIDGEWAY,U.S. Senate,,I,Robin Adair,1,1,0
41,ROSLYN 1,U.S. Senate,,I,Robin Adair,2,1,1
42,ROSLYN 2,U.S. Senate,,I,Robin Adair,2,1,1
43,DRY CREEK,U.S. Senate,,I,Robin Adair,2,2,0
44,WESTSIDE (vbm),U.S. Senate,,I,Robin Adair,3,0,3
45,ROSLYN OUTLYING (vbm),U.S. Senate,,I,Robin Adair,0,0,0
46,SANDERS,U.S. Senate,,I,Robin Adair,4,4,0
47,SOUTH CLE ELUM,U.S. Senate,,I,Robin Adair,3,1,2
48,SOUTH ELLENSBURG,U.S. Senate,,I,Robin Adair,1,1,0
49,CANYON,U.S. Senate,,I,Robin Adair,0,0,0
50,SWAUK (vbm),U.S. Senate,,I,Robin Adair,0,0,0
51,TEANAWAY (vbm),U.S. Senate,,I,Robin Adair,1,0,1
52,THORP,U.S. Senate,,I,Robin Adair,5,5,0
53,VANTAGE (vbm),U.S. Senate,,I,Robin Adair,0,0,0
54,NORTH EAST FAIRVIEW,U.S. Senate,,I,Robin Adair,1,1,0
55,FAIRVIEW,U.S. Senate,,I,Robin Adair,5,2,3
56,THRALL,U.S. Senate,,I,Robin Adair,2,2,0
58,DAMMAN,U.S. Senate,,I,Robin Adair,2,2,0
59,KACHESS (vbm),U.S. Senate,,I,Robin Adair,3,0,3
60,KITTITAS 2,U.S. Senate,,I,Robin Adair,1,1,0
61,ELLENSBURG 25,U.S. Senate,,I,Robin Adair,1,1,0
62,RONALD (vbm),U.S. Senate,,I,Robin Adair,0,0,0
99,KITTITAS WA,U.S. Senate,,I,Robin Adair,93,0,0
1,CLE ELUM 1,U.S. Senate,,G,Aaron Dixon,0,0,0
2,CLE ELUM 2,U.S. Senate,,G,Aaron Dixon,0,0,0
3,CLE ELUM 3,U.S. Senate,,G,Aaron Dixon,0,0,0
4,CLE ELUM 4,U.S. Senate,,G,Aaron Dixon,5,5,0
5,DENMARK,U.S. Senate,,G,Aaron Dixon,7,5,2
6,EAST SANDERS,U.S. Senate,,G,Aaron Dixon,2,1,1
7,EASTON,U.S. Senate,,G,Aaron Dixon,3,3,0
8,ELLENSBURG 1,U.S. Senate,,G,Aaron Dixon,2,2,0
9,ELLENSBURG 2,U.S. Senate,,G,Aaron Dixon,3,1,2
10,ELLENSBURG 3,U.S. Senate,,G,Aaron Dixon,1,0,1
11,ELLENSBURG 4,U.S. Senate,,G,Aaron Dixon,2,1,1
12,ELLENSBURG 5,U.S. Senate,,G,Aaron Dixon,0,0,0
13,ELLENSBURG 6,U.S. Senate,,G,Aaron Dixon,4,2,2
14,ELLENSBURG 7,U.S. Senate,,G,Aaron Dixon,1,1,0
15,ELLENSBURG 8,U.S. Senate,,G,Aaron Dixon,2,2,0
16,ELLENSBURG 9,U.S. Senate,,G,Aaron Dixon,1,1,0
17,ELLENSBURG 10,U.S. Senate,,G,Aaron Dixon,1,0,1
18,ELLENSBURG 11,U.S. Senate,,G,Aaron Dixon,0,0,0
19,ELLENSBURG 12,U.S. Senate,,G,Aaron Dixon,1,1,0
20,ELLENSBURG 13,U.S. Senate,,G,Aaron Dixon,1,0,1
21,ELLENSBURG 14,U.S. Senate,,G,Aaron Dixon,0,0,0
22,ELLENSBURG 15,U.S. Senate,,G,Aaron Dixon,0,0,0
23,ELLENSBURG 16,U.S. Senate,,G,Aaron Dixon,3,2,1
24,ELLENSBURG 17,U.S. Senate,,G,Aaron Dixon,2,1,1
25,ELLENSBURG 18,U.S. Senate,,G,Aaron Dixon,0,0,0
26,ELLENSBURG 19,U.S. Senate,,G,Aaron Dixon,5,3,2
27,ELLENSBURG 20,U.S. Senate,,G,Aaron Dixon,3,2,1
28,ELLENSBURG 21,U.S. Senate,,G,Aaron Dixon,4,2,2
29,ELLENSBURG 22,U.S. Senate,,G,Aaron Dixon,2,1,1
30,ELLENSBURG 23,U.S. Senate,,G,Aaron Dixon,3,3,0
31,ELLENSBURG 24,U.S. Senate,,G,Aaron Dixon,2,1,1
32,HYAK (vbm),U.S. Senate,,G,Aaron Dixon,0,0,0
33,KITTITAS 1,U.S. Senate,,G,Aaron Dixon,1,1,0
34,MANASTASH,U.S. Senate,,G,Aaron Dixon,1,1,0
35,MOUNTAIN (vbm),U.S. Senate,,G,Aaron Dixon,0,0,0
36,NORTH CENTRAL,U.S. Senate,,G,Aaron Dixon,2,2,0
37,NORTH ELLENSBURG,U.S. Senate,,G,Aaron Dixon,1,1,0
38,PARK,U.S. Senate,,G,Aaron Dixon,2,2,0
39,PEOH POINT,U.S. Senate,,G,Aaron Dixon,3,2,1
40,RIDGEWAY,U.S. Senate,,G,Aaron Dixon,2,1,1
41,ROSLYN 1,U.S. Senate,,G,Aaron Dixon,2,2,0
42,ROSLYN 2,U.S. Senate,,G,Aaron Dixon,1,1,0
43,DRY CREEK,U.S. Senate,,G,Aaron Dixon,4,4,0
44,WESTSIDE (vbm),U.S. Senate,,G,Aaron Dixon,0,0,0
45,ROSLYN OUTLYING (vbm),U.S. Senate,,G,Aaron Dixon,1,0,1
46,SANDERS,U.S. Senate,,G,Aaron Dixon,1,1,0
