county,precinct,office,district,party,candidate,votes,poll,abs
Jefferson,704 Port Townsend 4,President,,S,David McReynolds,0,0,0
Jefferson,705 Port Townsend 5,President,,S,David McReynolds,0,0,0
Jefferson,706 Port Townsend 6,President,,S,David McReynolds,0,0,0
Jefferson,707 Port Townsend 7,President,,S,David McReynolds,1,0,1
Jefferson,708 Port Townsend 8,President,,S,David McReynolds,1,0,1
Jefferson,709 Port Townsend 9,President,,S,David McReynolds,0,0,0
Jefferson,710 Port Townsend 10,President,,S,David McReynolds,0,0,0
Jefferson,711 Port Townsend 11,President,,S,David McReynolds,0,0,0
Jefferson,712 Port Townsend 12,President,,S,David McReynolds,0,0,0
Jefferson,,President,,S,David McReynolds,5,1,4
Jefferson,101 Gardiner 1,President,,G,Ralph Nader,10,10,0
Jefferson,102 Port Discovery,President,,G,Ralph Nader,8,8,0
Jefferson,103 Leland,President,,G,Ralph Nader,4,4,0
Jefferson,104 Woodman 1,President,,G,Ralph Nader,53,31,22
Jefferson,105 Woodman 2,President,,G,Ralph Nader,55,30,25
Jefferson,106 Woodman 3,President,,G,Ralph Nader,71,28,43
Jefferson,107 Woodman 4,President,,G,Ralph Nader,12,7,5
Jefferson,108 Tarboo,President,,G,Ralph Nader,2,2,
Jefferson,109 Crocker Lake,President,,G,Ralph Nader,7,7,
Jefferson,200 Coyle 1,President,,G,Ralph Nader,6,6,
Jefferson,201 Quilcene 1,President,,G,Ralph Nader,24,11,13
Jefferson,202 Quilcene 2,President,,G,Ralph Nader,13,6,7
Jefferson,203 Coyle 2,President,,G,Ralph Nader,4,4,
Jefferson,204 Brinnon,President,,G,Ralph Nader,34,13,21
Jefferson,206 Thorndyke,President,,G,Ralph Nader,3,3,
Jefferson,301 Chimacum,President,,G,Ralph Nader,39,19,20
Jefferson,302 Center,President,,G,Ralph Nader,41,21,20
Jefferson,303 Hadlock,President,,G,Ralph Nader,42,15,27
Jefferson,304 Kala Point,President,,G,Ralph Nader,25,10,15
Jefferson,305 Irondale,President,,G,Ralph Nader,33,20,13
Jefferson,306 Rhody,President,,G,Ralph Nader,25,16,9
Jefferson,401 Nordland,President,,G,Ralph Nader,51,20,31
Jefferson,501 Port Ludlow 1,President,,G,Ralph Nader,21,14,7
Jefferson,502 Port Ludlow 2,President,,G,Ralph Nader,33,13,20
Jefferson,503 Port Ludlow 3,President,,G,Ralph Nader,14,4,10
Jefferson,504 Paradise bay,President,,G,Ralph Nader,11,2,9
Jefferson,505 South Point,President,,G,Ralph Nader,13,3,10
Jefferson,600 Upper Hoh,President,,G,Ralph Nader,1,1,
Jefferson,601 Hoh,President,,G,Ralph Nader,4,4,
Jefferson,602 Kalaloch,President,,G,Ralph Nader,0,0,
Jefferson,603 Queets,President,,G,Ralph Nader,0,0,
Jefferson,604 Clearwater,President,,G,Ralph Nader,3,3,
Jefferson,701 Port Townsend 1,President,,G,Ralph Nader,52,34,18
Jefferson,702 Port Townsend 2,President,,G,Ralph Nader,56,21,35
Jefferson,703 Port Townsend 3,President,,G,Ralph Nader,38,14,24
Jefferson,704 Port Townsend 4,President,,G,Ralph Nader,42,17,25
Jefferson,705 Port Townsend 5,President,,G,Ralph Nader,47,28,19
Jefferson,706 Port Townsend 6,President,,G,Ralph Nader,77,32,45
Jefferson,707 Port Townsend 7,President,,G,Ralph Nader,84,34,50
Jefferson,708 Port Townsend 8,President,,G,Ralph Nader,67,31,36
Jefferson,709 Port Townsend 9,President,,G,Ralph Nader,28,10,18
Jefferson,710 Port Townsend 10,President,,G,Ralph Nader,25,12,13
Jefferson,711 Port Townsend 11,President,,G,Ralph Nader,18,9,9
Jefferson,712 Port Townsend 12,President,,G,Ralph Nader,45,23,22
Jefferson,,President,,G,Ralph Nader,1241,600,641
Jefferson,101 Gardiner 1,President,,WW,Monica Moorehead,0,0,0
Jefferson,102 Port Discovery,President,,WW,Monica Moorehead,0,0,0
Jefferson,103 Leland,President,,WW,Monica Moorehead,0,0,0
Jefferson,104 Woodman 1,President,,WW,Monica Moorehead,1,0,1
Jefferson,105 Woodman 2,President,,WW,Monica Moorehead,0,0,0
Jefferson,106 Woodman 3,President,,WW,Monica Moorehead,0,0,0
Jefferson,107 Woodman 4,President,,WW,Monica Moorehead,0,0,0
Jefferson,108 Tarboo,President,,WW,Monica Moorehead,0,0,
Jefferson,109 Crocker Lake,President,,WW,Monica Moorehead,0,0,
Jefferson,200 Coyle 1,President,,WW,Monica Moorehead,0,0,
Jefferson,201 Quilcene 1,President,,WW,Monica Moorehead,0,0,0
Jefferson,202 Quilcene 2,President,,WW,Monica Moorehead,0,0,0
Jefferson,203 Coyle 2,President,,WW,Monica Moorehead,0,0,
Jefferson,204 Brinnon,President,,WW,Monica Moorehead,0,0,0
Jefferson,206 Thorndyke,President,,WW,Monica Moorehead,0,0,
Jefferson,301 Chimacum,President,,WW,Monica Moorehead,0,0,0
Jefferson,302 Center,President,,WW,Monica Moorehead,0,0,0
Jefferson,303 Hadlock,President,,WW,Monica Moorehead,1,1,0
Jefferson,304 Kala Point,President,,WW,Monica Moorehead,0,0,0
Jefferson,305 Irondale,President,,WW,Monica Moorehead,1,0,1
Jefferson,306 Rhody,President,,WW,Monica Moorehead,1,0,1
Jefferson,401 Nordland,President,,WW,Monica Moorehead,0,0,0
Jefferson,501 Port Ludlow 1,President,,WW,Monica Moorehead,0,0,0
Jefferson,502 Port Ludlow 2,President,,WW,Monica Moorehead,1,0,1
Jefferson,503 Port Ludlow 3,President,,WW,Monica Moorehead,0,0,0
Jefferson,504 Paradise bay,President,,WW,Monica Moorehead,0,0,0
Jefferson,505 South Point,President,,WW,Monica Moorehead,0,0,0
Jefferson,600 Upper Hoh,President,,WW,Monica Moorehead,0,0,
Jefferson,601 Hoh,President,,WW,Monica Moorehead,0,0,
Jefferson,602 Kalaloch,President,,WW,Monica Moorehead,0,0,
Jefferson,603 Queets,President,,WW,Monica Moorehead,1,1,
Jefferson,604 Clearwater,President,,WW,Monica Moorehead,0,0,
Jefferson,701 Port Townsend 1,President,,WW,Monica Moorehead,0,0,0
Jefferson,702 Port Townsend 2,President,,WW,Monica Moorehead,0,0,0
Jefferson,703 Port Townsend 3,President,,WW,Monica Moorehead,0,0,0
Jefferson,704 Port Townsend 4,President,,WW,Monica Moorehead,0,0,0
Jefferson,705 Port Townsend 5,President,,WW,Monica Moorehead,1,1,0
Jefferson,706 Port Townsend 6,President,,WW,Monica Moorehead,0,0,0
Jefferson,707 Port Townsend 7,President,,WW,Monica Moorehead,0,0,0
Jefferson,708 Port Townsend 8,President,,WW,Monica Moorehead,0,0,0
Jefferson,709 Port Townsend 9,President,,WW,Monica Moorehead,0,0,0
Jefferson,710 Port Townsend 10,President,,WW,Monica Moorehead,0,0,0
Jefferson,711 Port Townsend 11,President,,WW,Monica Moorehead,0,0,0
Jefferson,712 Port Townsend 12,President,,WW,Monica Moorehead,0,0,0
Jefferson,,President,,WW,Monica Moorehead,7,3,4
Jefferson,101 Gardiner 1,President,,C,Howard Phillips,1,1,0
Jefferson,102 Port Discovery,President,,C,Howard Phillips,0,0,0
Jefferson,103 Leland,President,,C,Howard Phillips,0,0,0
Jefferson,104 Woodman 1,President,,C,Howard Phillips,1,0,1
Jefferson,105 Woodman 2,President,,C,Howard Phillips,0,0,0
Jefferson,106 Woodman 3,President,,C,Howard Phillips,0,0,0
Jefferson,107 Woodman 4,President,,C,Howard Phillips,0,0,0
Jefferson,108 Tarboo,President,,C,Howard Phillips,0,0,
Jefferson,109 Crocker Lake,President,,C,Howard Phillips,0,0,
Jefferson,200 Coyle 1,President,,C,Howard Phillips,0,0,
Jefferson,201 Quilcene 1,President,,C,Howard Phillips,1,0,1
Jefferson,202 Quilcene 2,President,,C,Howard Phillips,0,0,0
Jefferson,203 Coyle 2,President,,C,Howard Phillips,0,0,
Jefferson,204 Brinnon,President,,C,Howard Phillips,1,0,1
Jefferson,206 Thorndyke,President,,C,Howard Phillips,0,0,
Jefferson,301 Chimacum,President,,C,Howard Phillips,0,0,0
Jefferson,302 Center,President,,C,Howard Phillips,0,0,0
Jefferson,303 Hadlock,President,,C,Howard Phillips,0,0,0
Jefferson,304 Kala Point,President,,C,Howard Phillips,0,0,0
Jefferson,305 Irondale,President,,C,Howard Phillips,2,0,2
Jefferson,306 Rhody,President,,C,Howard Phillips,1,1,0
Jefferson,401 Nordland,President,,C,Howard Phillips,0,0,0
Jefferson,501 Port Ludlow 1,President,,C,Howard Phillips,0,0,0
Jefferson,502 Port Ludlow 2,President,,C,Howard Phillips,0,0,0
Jefferson,503 Port Ludlow 3,President,,C,Howard Phillips,0,0,0
Jefferson,504 Paradise bay,President,,C,Howard Phillips,0,0,0
Jefferson,505 South Point,President,,C,Howard Phillips,0,0,0
Jefferson,600 Upper Hoh,President,,C,Howard Phillips,0,0,
Jefferson,601 Hoh,President,,C,Howard Phillips,0,0,
Jefferson,602 Kalaloch,President,,C,Howard Phillips,0,0,
Jefferson,603 Queets,President,,C,Howard Phillips,0,0,
Jefferson,604 Clearwater,President,,C,Howard Phillips,0,0,
Jefferson,701 Port Townsend 1,President,,C,Howard Phillips,0,0,0
Jefferson,702 Port Townsend 2,President,,C,Howard Phillips,0,0,0
Jefferson,703 Port Townsend 3,President,,C,Howard Phillips,0,0,0
Jefferson,704 Port Townsend 4,President,,C,Howard Phillips,0,0,0
Jefferson,705 Port Townsend 5,President,,C,Howard Phillips,0,0,0
Jefferson,706 Port Townsend 6,President,,C,Howard Phillips,0,0,0
Jefferson,707 Port Townsend 7,President,,C,Howard Phillips,1,0,1
Jefferson,708 Port Townsend 8,President,,C,Howard Phillips,0,0,0
Jefferson,709 Port Townsend 9,President,,C,Howard Phillips,0,0,0
Jefferson,710 Port Townsend 10,President,,C,Howard Phillips,0,0,0
Jefferson,711 Port Townsend 11,President,,C,Howard Phillips,1,1,0
Jefferson,712 Port Townsend 12,President,,C,Howard Phillips,1,1,0
Jefferson,,President,,C,Howard Phillips,10,4,6
Jefferson,101 Gardiner 1,President,,F,Pat Buchanan,2,2,0
Jefferson,102 Port Discovery,President,,F,Pat Buchanan,2,2,0
Jefferson,103 Leland,President,,F,Pat Buchanan,0,0,0
Jefferson,104 Woodman 1,President,,F,Pat Buchanan,2,1,1
Jefferson,105 Woodman 2,President,,F,Pat Buchanan,2,1,1
Jefferson,106 Woodman 3,President,,F,Pat Buchanan,3,1,2
Jefferson,107 Woodman 4,President,,F,Pat Buchanan,1,0,1
Jefferson,108 Tarboo,President,,F,Pat Buchanan,1,1,
Jefferson,109 Crocker Lake,President,,F,Pat Buchanan,0,0,
Jefferson,200 Coyle 1,President,,F,Pat Buchanan,0,0,
Jefferson,201 Quilcene 1,President,,F,Pat Buchanan,2,0,2
Jefferson,202 Quilcene 2,President,,F,Pat Buchanan,1,0,1
Jefferson,203 Coyle 2,President,,F,Pat Buchanan,0,0,
Jefferson,204 Brinnon,President,,F,Pat Buchanan,4,1,3
Jefferson,206 Thorndyke,President,,F,Pat Buchanan,0,0,
Jefferson,301 Chimacum,President,,F,Pat Buchanan,2,0,2
Jefferson,302 Center,President,,F,Pat Buchanan,0,0,0
Jefferson,303 Hadlock,President,,F,Pat Buchanan,1,1,0
Jefferson,304 Kala Point,President,,F,Pat Buchanan,1,0,1
Jefferson,305 Irondale,President,,F,Pat Buchanan,2,2,0
Jefferson,306 Rhody,President,,F,Pat Buchanan,4,2,2
Jefferson,401 Nordland,President,,F,Pat Buchanan,2,1,1
Jefferson,501 Port Ludlow 1,President,,F,Pat Buchanan,3,1,2
Jefferson,502 Port Ludlow 2,President,,F,Pat Buchanan,2,1,1
Jefferson,503 Port Ludlow 3,President,,F,Pat Buchanan,1,0,1
Jefferson,504 Paradise bay,President,,F,Pat Buchanan,0,0,0
Jefferson,505 South Point,President,,F,Pat Buchanan,1,0,1
Jefferson,600 Upper Hoh,President,,F,Pat Buchanan,2,2,
Jefferson,601 Hoh,President,,F,Pat Buchanan,0,0,
Jefferson,602 Kalaloch,President,,F,Pat Buchanan,0,0,
Jefferson,603 Queets,President,,F,Pat Buchanan,1,1,
Jefferson,604 Clearwater,President,,F,Pat Buchanan,0,0,
Jefferson,701 Port Townsend 1,President,,F,Pat Buchanan,1,0,1
Jefferson,702 Port Townsend 2,President,,F,Pat Buchanan,1,0,1
Jefferson,703 Port Townsend 3,President,,F,Pat Buchanan,2,1,1
Jefferson,704 Port Townsend 4,President,,F,Pat Buchanan,1,1,0
Jefferson,705 Port Townsend 5,President,,F,Pat Buchanan,2,0,2
Jefferson,706 Port Townsend 6,President,,F,Pat Buchanan,0,0,0
Jefferson,707 Port Townsend 7,President,,F,Pat Buchanan,0,0,0
Jefferson,708 Port Townsend 8,President,,F,Pat Buchanan,0,0,0
Jefferson,709 Port Townsend 9,President,,F,Pat Buchanan,0,0,0
Jefferson,710 Port Townsend 10,President,,F,Pat Buchanan,0,0,0
Jefferson,711 Port Townsend 11,President,,F,Pat Buchanan,2,0,2
Jefferson,712 Port Townsend 12,President,,F,Pat Buchanan,2,1,1
Jefferson,,President,,F,Pat Buchanan,53,23,30
Jefferson,101 Gardiner 1,President,,SW,James Harris,0,0,0
Jefferson,102 Port Discovery,President,,SW,James Harris,0,0,0
Jefferson,103 Leland,President,,SW,James Harris,0,0,0
Jefferson,104 Woodman 1,President,,SW,James Harris,0,0,0
Jefferson,105 Woodman 2,President,,SW,James Harris,0,0,0
Jefferson,106 Woodman 3,President,,SW,James Harris,0,0,0
Jefferson,107 Woodman 4,President,,SW,James Harris,0,0,0
Jefferson,108 Tarboo,President,,SW,James Harris,0,0,
Jefferson,109 Crocker Lake,President,,SW,James Harris,0,0,
Jefferson,200 Coyle 1,President,,SW,James Harris,0,0,
Jefferson,201 Quilcene 1,President,,SW,James Harris,0,0,0
Jefferson,202 Quilcene 2,President,,SW,James Harris,0,0,0
Jefferson,203 Coyle 2,President,,SW,James Harris,0,0,
Jefferson,204 Brinnon,President,,SW,James Harris,0,0,0
Jefferson,206 Thorndyke,President,,SW,James Harris,0,0,
Jefferson,301 Chimacum,President,,SW,James Harris,0,0,0
Jefferson,302 Center,President,,SW,James Harris,0,0,0
Jefferson,303 Hadlock,President,,SW,James Harris,0,0,0
Jefferson,304 Kala Point,President,,SW,James Harris,0,0,0
Jefferson,305 Irondale,President,,SW,James Harris,0,0,0
Jefferson,306 Rhody,President,,SW,James Harris,0,0,0
Jefferson,401 Nordland,President,,SW,James Harris,0,0,0
Jefferson,501 Port Ludlow 1,President,,SW,James Harris,0,0,0
Jefferson,502 Port Ludlow 2,President,,SW,James Harris,0,0,0
Jefferson,503 Port Ludlow 3,President,,SW,James Harris,0,0,0
Jefferson,504 Paradise bay,President,,SW,James Harris,0,0,0
Jefferson,505 South Point,President,,SW,James Harris,0,0,0
Jefferson,600 Upper Hoh,President,,SW,James Harris,0,0,
Jefferson,601 Hoh,President,,SW,James Harris,0,0,
Jefferson,602 Kalaloch,President,,SW,James Harris,0,0,
Jefferson,603 Queets,President,,SW,James Harris,0,0,
Jefferson,604 Clearwater,President,,SW,James Harris,0,0,
Jefferson,701 Port Townsend 1,President,,SW,James Harris,0,0,0
Jefferson,702 Port Townsend 2,President,,SW,James Harris,0,0,0
Jefferson,703 Port Townsend 3,President,,SW,James Harris,0,0,0
Jefferson,704 Port Townsend 4,President,,SW,James Harris,0,0,0
Jefferson,705 Port Townsend 5,President,,SW,James Harris,0,0,0
Jefferson,706 Port Townsend 6,President,,SW,James Harris,0,0,0
Jefferson,707 Port Townsend 7,President,,SW,James Harris,0,0,0
Jefferson,708 Port Townsend 8,President,,SW,James Harris,1,1,0
Jefferson,709 Port Townsend 9,President,,SW,James Harris,0,0,0
Jefferson,710 Port Townsend 10,President,,SW,James Harris,0,0,0
Jefferson,711 Port Townsend 11,President,,SW,James Harris,0,0,0
Jefferson,712 Port Townsend 12,President,,SW,James Harris,0,0,0
Jefferson,,President,,SW,James Harris,1,1,0
Jefferson,101 Gardiner 1,President,,NL,John Hagelin,0,0,0
Jefferson,102 Port Discovery,President,,NL,John Hagelin,2,2,0
Jefferson,103 Leland,President,,NL,John Hagelin,1,1,0
Jefferson,104 Woodman 1,President,,NL,John Hagelin,0,0,0
Jefferson,105 Woodman 2,President,,NL,John Hagelin,1,0,1
Jefferson,106 Woodman 3,President,,NL,John Hagelin,0,0,0
Jefferson,107 Woodman 4,President,,NL,John Hagelin,0,0,0
Jefferson,108 Tarboo,President,,NL,John Hagelin,0,0,
Jefferson,109 Crocker Lake,President,,NL,John Hagelin,0,0,
Jefferson,200 Coyle 1,President,,NL,John Hagelin,0,0,
Jefferson,201 Quilcene 1,President,,NL,John Hagelin,1,0,1
Jefferson,202 Quilcene 2,President,,NL,John Hagelin,0,0,0
Jefferson,203 Coyle 2,President,,NL,John Hagelin,0,0,
Jefferson,204 Brinnon,President,,NL,John Hagelin,1,0,1
Jefferson,206 Thorndyke,President,,NL,John Hagelin,0,0,
Jefferson,301 Chimacum,President,,NL,John Hagelin,1,1,0
Jefferson,302 Center,President,,NL,John Hagelin,1,0,1
Jefferson,303 Hadlock,President,,NL,John Hagelin,2,1,1
Jefferson,304 Kala Point,President,,NL,John Hagelin,0,0,0
Jefferson,305 Irondale,President,,NL,John Hagelin,1,0,1
